UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2018,19,4264485,2179566,2084919,1606617,1526327,330534,320742,32842,31867,115201,114671,5845,5551,88527,85761,1686809,1604090,374614,364263,55254,54006,146996,144779,12933,12082,1684592,1611680,1174763,1113500,305669,297187,18404,17924,110189,109906,4194,3963,71373,69200,1239618,1176424,341905,333030,33829,33338,137040,135201,9636,8987,494974,473239,431854,412827,24865,23555,14438,13943,5012,4765,1651,1588,17154,16561,447191,427666,32709,31233,21425,20668,9956,9578,3297,3095
R,1,2018,20,4238709,2167655,2071054,1594718,1514232,328274,318573,32593,31396,121325,118711,5887,5474,84858,82668,1671502,1588994,370030,359900,54752,53163,151947,147988,12516,11791,1680353,1607421,1169033,1109187,304303,295660,18156,17917,116359,114019,4223,3947,68279,66691,1230968,1169600,338497,329683,33540,33157,142187,138713,9308,8785,487302,463633,425685,405045,23971,22913,14437,13479,4966,4692,1664,1527,16579,15977,440534,419394,31533,30217,21212,20006,9760,9275,3208,3006
R,1,2018,21,4292439,2194707,2097732,1618683,1534748,328105,320893,32757,31364,125762,123842,6007,5563,83393,81322,1694118,1608042,368352,360961,55108,53278,155986,152800,12650,12132,1705472,1635226,1190636,1130431,304267,298473,18371,17777,120939,119145,4280,3999,66979,65401,1251381,1189485,337069,331319,33724,33024,146629,143587,9410,9083,489235,462506,428047,404317,23838,22420,14386,13587,4823,4697,1727,1564,16414,15921,442737,418557,31283,29642,21384,20254,9357,9213,3240,3049
R,1,2018,22,4358553,2235229,2123324,1642019,1550243,339065,327889,33109,31321,133009,129008,6248,5947,81779,78916,1715629,1621100,378001,366494,56019,53328,162584,157043,12877,12512,1741592,1657623,1210003,1142729,314835,305221,18660,17678,128149,124242,4511,4277,65434,63476,1268953,1199886,346493,336697,34613,33113,153155,147908,9661,9410,493637,465701,432016,407514,24230,22668,14449,13643,4860,4766,1737,1670,16345,15440,446676,421214,31508,29797,21406,20215,9429,9135,3216,3102
R,1,2018,23,4451945,2283762,2168183,1668604,1573162,355812,344806,33690,32376,139405,133627,6378,6227,79873,77985,1740123,1642811,393097,382360,56897,54906,168254,161413,13289,12723,1785560,1700927,1232144,1164436,331157,321731,19273,18467,134511,129014,4648,4560,63827,62719,1289316,1220468,361297,352366,35536,34458,158996,152525,10007,9626,498202,467256,436460,408726,24655,23075,14417,13909,4894,4613,1730,1667,16046,15266,450807,422343,31800,29994,21361,20448,9258,8888,3282,3097
R,1,2018,24,4531326,2326597,2204729,1694291,1591937,369379,356685,34605,33233,145301,140887,6552,6256,76469,75731,1762316,1659271,404430,392499,57207,55789,173505,167919,13316,12813,1822998,1735716,1252337,1181062,344327,333675,19933,19408,140486,136170,4719,4589,61196,60812,1306821,1235193,372636,362711,35851,35498,164396,159068,9980,9706,503599,469013,441954,410875,25052,23010,14672,13825,4815,4717,1833,1667,15273,14919,455495,424078,31794,29788,21356,20291,9109,8851,3336,3107
R,1,2018,25,4654149,2391503,2262646,1740156,1632885,381767,366443,36306,33994,151168,148909,6676,6366,75430,74049,1807082,1698543,414907,400104,59557,56674,179407,176078,13457,12982,1877036,1786534,1288626,1215537,356317,342846,20940,19920,146263,144111,4844,4644,60046,59476,1341898,1268304,382680,369990,37315,36126,170384,167317,10179,9807,514467,476112,451530,417348,25450,23597,15366,14074,4905,4798,1832,1722,15384,14573,465184,430239,32227,30114,22242,20548,9023,8761,3278,3175
R,1,2018,26,4739593,2417897,2321696,1758523,1669388,383786,377886,37096,33832,159203,160179,7415,6759,71874,73652,1821440,1733736,414746,411024,59548,56158,186700,188383,14406,13741,1906316,1848490,1311120,1257159,357659,352533,21328,20083,154137,154934,5395,4952,56677,58829,1360651,1308519,381891,378915,36954,35901,177549,178926,10912,10434,511581,473206,447403,412229,26127,25353,15768,13749,5066,5245,2020,1807,15197,14823,460789,425217,32855,32109,22594,20257,9151,9457,3494,3307
R,1,2018,27,4827829,2457758,2370071,1795740,1708779,382345,380367,36839,33605,166457,169806,7707,7009,68670,70505,1855581,1770416,410703,411633,58466,55189,193918,197005,14596,13795,1941395,1899312,1344310,1299208,355850,354419,20750,19909,161083,164546,5540,5185,53862,56045,1391053,1348115,377753,379167,35674,35068,184560,187695,10953,10542,516363,470759,451430,409571,26495,25948,16089,13696,5374,5260,2167,1824,14808,14460,464528,422301,32950,32466,22792,20121,9358,9310,3643,3253
R,1,2018,28,4680426,2378981,2301445,1743698,1657199,364354,367394,35536,32020,164360,172209,7828,6795,63205,65828,1798949,1714599,390039,396114,55557,52359,189625,197839,14095,13169,1884417,1852520,1311278,1266401,338954,342545,19805,19110,159248,167064,5679,5088,49453,52312,1354346,1311865,358620,365158,33619,33391,180884,189037,10632,10201,494564,448925,432420,390798,25400,24849,15731,12910,5112,5145,2149,1707,13752,13516,444603,402734,31419,30956,21938,18968,8741,8802,3463,2968
